GEOID,INTPTLAT,INTPTLONG 
06013990000,38.0258765,-122.3116710                                                                                                                            
06015000101,41.7443155,-124.2040510                                                                                                                       
06015000102,41.7597759,-124.1632913                                                                                                                      
06015000104,41.7755135,-124.1930607                                                                                                                             
06015000105,41.7804545,-124.2396505                                                                                                                     
06015000201,41.8568261,-124.1681490                                                                                                                     
06015000202,41.7468281,-123.8637594                                                                                                                   
06015000203,41.5752944,-124.0310135                                                                                                                    
06015990000,41.7510436,-124.2493103                                                                                                                           
06017030200,38.9313103,-119.9602888                                                                                                                       
06017030301,38.9238251,-119.9807563                                                                                                                             
06017030302,38.9351151,-119.9875001                                                                                                                             
06017030401,38.9280929,-120.0091813                                                                                                                        
06017030402,38.8973453,-120.0073155                                                                                                                            
06017030502,38.8832961,-120.0306547                                                                                                                        
06017030504,38.9069300,-119.9479318                                                                                                                            
06017030505,38.8486517,-119.9503432                                                                                                                      
06017030601,38.8279567,-121.0265108                                                                                                                    
06017030602,38.9500695,-120.8511431                                                                                                                      
06017030603,38.8774510,-120.4293625                                                                                                                   
06017030701,38.7370150,-121.0874235                                                                                                                      
06017030704,38.5829792,-120.9950293                                                                                                                       
06017030706,38.6722167,-121.0863350                                                                                                                             
06017030709,38.6921381,-121.0319146                                                                                                                       
06017030710,38.6825337,-121.0617481                                                                                                                             
06017030801,38.7326215,-121.0109264                                                                                                                       
06017030803,38.6856815,-120.9574313                                                                                                                            
06017030804,38.6380828,-120.9369393                                                                                                                       
06017030807,38.6626490,-121.0121670                                                                                                                             
06017030808,38.6766500,-121.0086199                                                                                                                         
06017030809,38.6628212,-120.9841930                                                                                                                             
06017030810,38.6905334,-120.9961113                                                                                                                        
06017030901,38.7788639,-120.9351333                                                                                                                            
06017030902,38.7187800,-120.8956588                                                                                                                       
06017031000,38.7517688,-120.8454000                                                                                                                            
06017031100,38.7557046,-120.7656707                                                                                                                       
06017031200,38.7183574,-120.7828088                                                                                                                         
06017031301,38.7490321,-120.6909165                                                                                                                       
06017031302,38.7685430,-120.5987778                                                                                                                        
06017031402,38.6035985,-120.5343814                                                                                                                      
06017031404,38.6909824,-120.7055174                                                                                                                        
06017031405,38.7330245,-120.6258013                                                                                                                            
06017031406,38.7079090,-120.5909221                                                                                                                      
06017031502,38.6947058,-120.8218503                                                                                                                        
06017031503,38.5856314,-120.8677386                                                                                                                        
06017031504,38.6578205,-120.7933475                                                                                                                        
06017031600,38.9436744,-119.9388297                                                                                                                             
06017031700,38.6989223,-121.0951787                                                                                                                             
06017031800,38.6670529,-121.0483699                                                                                                                             
06017031900,38.7295194,-120.2657696                                                                                                                      
06017032000,38.9116786,-120.1059597                                                                                                                    
06017990000,39.0044976,-120.0430625                                                                                                                           
06019000100,36.7369244,-119.7927732                                                                                                                              
06019000200,36.7354931,-119.8055062                                                                                                                             
06019000300,36.7264620,-119.8010347                                                                                                                             
06019000400,36.7276566,-119.7762087                                                                                                                             
06019000501,36.7426772,-119.7748470                                                                                                                              
06019000502,36.7444099,-119.7815454                                                                                                                             
06019000600,36.7430630,-119.7933565                                                                                                                             
06019000700,36.7345348,-119.8277080                                                                                                                             
06019000800,36.7067181,-119.8311790                                                                                                                             
06019000901,36.7104697,-119.8043010                                                                                                                             
06019000902,36.7177690,-119.8042772                                                                                                                             
06019001000,36.6977507,-119.8043140                                                                                                                             
06019001100,36.7096962,-119.7816972                                                                                                                             
06019001201,36.7107523,-119.7577716                                                                                                                             
06019001202,36.7026849,-119.7410277                                                                                                                             
06019001301,36.7322590,-119.7499923                                                                                                                             
06019001303,36.7250069,-119.7591482                                                                                                                              
06019001304,36.7250147,-119.7455349                                                                                                                             
06019001407,36.7322737,-119.7273757                                                                                                                             
06019001408,36.7252331,-119.7276686                                                                                                                             
06019001409,36.7290408,-119.7091895                                                                                                                             
06019001410,36.7110990,-119.7181677                                                                                                                             
06019001411,36.7433669,-119.6911739                                                                                                                             
06019001412,36.7435858,-119.6639753                                                                                                                             
06019001413,36.7212960,-119.6662714                                                                                                                            
06019001414,36.7182935,-119.6909597                                                                                                                             
06019001500,36.6816004,-119.7178436                                                                                                                            
06019001600,36.6433218,-119.6486262                                                                                                                            
06019001700,36.6171740,-119.7291518                                                                                                                        
06019001800,36.6556100,-119.8121471                                                                                                                            
06019001900,36.7085379,-119.8872955                                                                                                                            
06019002000,36.7572828,-119.8328806                                                                                                                             
06019002100,36.7590503,-119.8157426                                                                                                                             
06019002200,36.7585393,-119.8037024                                                                                                                             
06019002300,36.7561221,-119.7942162                                                                                                                             
06019002400,36.7583430,-119.7810169                                                                                                                             
06019002501,36.7613690,-119.7634701                                                                                                                             
06019002502,36.7540821,-119.7634759                                                                                                                             
06019002601,36.7468175,-119.7634304                                                                                                                             
06019002602,36.7395157,-119.7634494                                                                                                                             
06019002701,36.7468158,-119.7453946                                                                                                                             
06019002702,36.7395320,-119.7453861                                                                                                                             
06019002800,36.7577975,-119.7453753                                                                                                                             
06019002903,36.7395376,-119.7273086                                                                                                                             
06019002904,36.7468038,-119.7272843                                                                                                                             
06019002905,36.7539654,-119.7272938                                                                                                                             
06019002906,36.7613333,-119.7272787                                                                                                                             
06019003001,36.7577958,-119.7092463                                                                                                                             
06019003003,36.7395013,-119.7091535                                                                                                                             
06019003004,36.7467810,-119.7091585                                                                                                                             
06019003102,36.8048512,-119.7158384                                                                                                                             
06019003103,36.7976616,-119.7203949                                                                                                                             
06019003104,36.7809252,-119.7157537                                                                                                                            
06019003201,36.7759071,-119.7430752                                                                                                                             
06019003202,36.7687041,-119.7431686                                                                                                                             
06019003301,36.7759433,-119.7634790                                                                                                                             
06019003302,36.7686679,-119.7635149                                                                                                                             
06019003400,36.7724800,-119.7791954                                                                                                                             
06019003500,36.7722645,-119.7950446                                                                                                                             
06019003600,36.7721367,-119.8108607                                                                                                                             
06019003701,36.7686654,-119.8255712                                                                                                                             
06019003702,36.7758683,-119.8278230                                                                                                                             
06019003803,36.7715456,-119.9090373                                                                                                                            
06019003804,36.7790926,-119.8713084                                                                                                                             
06019003805,36.7785172,-119.8542858                                                                                                                             
06019003807,36.7591628,-119.8532189                                                                                                                             
06019003808,36.7590347,-119.8712115                                                                                                                             
06019003809,36.7926994,-119.8702581                                                                                                                             
06019003810,36.7936161,-119.8893898                                                                                                                             
06019003900,36.7082365,-120.1192112                                                                                                                     
06019004001,36.7348260,-120.0782738                                                                                                                            
06019004002,36.7349023,-120.0422516                                                                                                                            
06019004100,36.7959636,-119.9948941                                                                                                                            
06019004205,36.7971891,-119.8544515                                                                                                                             
06019004207,36.8163103,-119.9110418                                                                                                                        
06019004208,36.8502988,-119.8789303                                                                                                                         
06019004210,36.8321013,-119.8702212                                                                                                                             
06019004211,36.8276688,-119.8806487                                                                                                                             
06019004212,36.8150842,-119.8690146                                                                                                                             
06019004213,36.8185876,-119.8507497                                                                                                                             
06019004214,36.8298040,-119.8536493                                                                                                                             
06019004215,36.8306861,-119.8992769                                                                                                                             
06019004216,36.8419789,-119.9130141                                                                                                                        
06019004301,36.8461939,-119.8416197                                                                                                                        
06019004302,36.8300696,-119.8311665                                                                                                                             
06019004303,36.8155686,-119.8307706                                                                                                                             
06019004404,36.8444256,-119.7924156                                                                                                                             
06019004405,36.8587761,-119.7743534                                                                                                                             
06019004406,36.8448135,-119.7744457                                                                                                                             
06019004408,36.8626333,-119.7952018                                                                                                                         
06019004409,36.8437897,-119.8119280                                                                                                                         
06019004503,36.8299344,-119.8083215                                                                                                                             
06019004504,36.8301689,-119.7903034                                                                                                                             
06019004505,36.8157103,-119.7903643                                                                                                                             
06019004506,36.8156130,-119.8083939                                                                                                                             
06019004601,36.8031545,-119.8253921                                                                                                                             
06019004602,36.8011471,-119.8084855                                                                                                                             
06019004701,36.7994995,-119.8369046                                                                                                                             
06019004703,36.7901386,-119.8353599                                                                                                                             
06019004704,36.7829438,-119.8352485                                                                                                                             
06019004801,36.7842412,-119.8120789                                                                                                                             
06019004802,36.7876300,-119.8222476                                                                                                                             
06019004901,36.7867587,-119.7964425                                                                                                                             
06019004902,36.7894606,-119.8074490                                                                                                                             
06019005000,36.8012804,-119.7904326                                                                                                                             
06019005100,36.7868840,-119.7814652                                                                                                                             
06019005202,36.7873267,-119.7439756                                                                                                                             
06019005203,36.7832086,-119.7634015                                                                                                                             
06019005204,36.7904775,-119.7633300                                                                                                                             
06019005301,36.7977186,-119.7678173                                                                                                                             
06019005302,36.8049491,-119.7677716                                                                                                                             
06019005304,36.8049395,-119.7429563                                                                                                                             
06019005305,36.7977982,-119.7429688                                                                                                                             
06019005403,36.8121984,-119.7632007                                                                                                                             
06019005405,36.8266460,-119.7677223                                                                                                                             
06019005406,36.8337758,-119.7677341                                                                                                                             
06019005407,36.8339103,-119.7450732                                                                                                                             
06019005408,36.8188047,-119.7423134                                                                                                                             
06019005409,36.8194482,-119.7632087                                                                                                                             
06019005410,36.8157748,-119.7767969                                                                                                                             
06019005503,36.9039784,-119.7682638                                                                                                                      
06019005504,36.8885345,-119.7386293                                                                                                                             
06019005505,36.8739461,-119.7387266                                                                                                                             
06019005507,36.8592568,-119.7567596                                                                                                                             
06019005508,36.8593795,-119.7387496                                                                                                                             
06019005509,36.8448439,-119.7386631                                                                                                                             
06019005510,36.8446786,-119.7567304                                                                                                                             
06019005512,36.8456680,-119.6757036                                                                                                                             
06019005513,36.8446768,-119.7018656                                                                                                                             
06019005514,36.8448035,-119.7202981                                                                                                                             
06019005515,36.9232200,-119.6924564                                                                                                                       
06019005516,36.8703273,-119.7636741                                                                                                                             
06019005517,36.8842714,-119.7573842                                                                                                                             
06019005518,36.8605423,-119.6445547                                                                                                                             
06019005520,36.8592093,-119.6660507                                                                                                                             
06019005522,36.8592846,-119.6931657                                                                                                                             
06019005524,36.8594085,-119.7204462                                                                                                                             
06019005525,36.8804748,-119.6918625                                                                                                                            
06019005602,36.8243826,-119.7058427                                                                                                                             
06019005605,36.8303071,-119.7327540                                                                                                                              
06019005606,36.8303059,-119.7214780                                                                                                                             
06019005607,36.8194378,-119.7182719                                                                                                                             
06019005608,36.8119213,-119.7194921                                                                                                                             
06019005701,36.8303592,-119.6909537                                                                                                                             
06019005702,36.8302738,-119.6730880                                                                                                                             
06019005703,36.8157677,-119.6728738                                                                                                                             
06019005704,36.8160111,-119.6910830                                                                                                                             
06019005801,36.8011827,-119.6910954                                                                                                                             
06019005802,36.8001728,-119.6727835                                                                                                                             
06019005804,36.7865743,-119.6909521                                                                                                                             
06019005805,36.7685213,-119.6805734                                                                                                                            
06019005904,36.7303926,-119.6356555                                                                                                                            
06019005905,36.7864934,-119.5874178                                                                                                                       
06019005906,36.7700677,-119.5155966                                                                                                                            
06019005907,36.8304328,-119.6601276                                                                                                                             
06019005909,36.8105831,-119.6539846                                                                                                                             
06019005911,36.7942655,-119.6500718                                                                                                                             
06019005912,36.8208460,-119.6287770                                                                                                                        
06019006000,36.7191064,-119.5717189                                                                                                                             
06019006100,36.6910426,-119.5726544                                                                                                                            
06019006201,36.6847537,-119.5374742                                                                                                                         
06019006202,36.7181290,-119.5325383                                                                                                                            
06019006300,36.6635030,-119.4358266                                                                                                                      
06019006402,37.2235798,-119.0008343                                                                                                                   
06019006403,36.8254036,-118.8088099                                                                                                                   
06019006404,36.9057665,-119.3805297                                                                                                                    
06019006405,37.0042938,-119.5635349                                                                                                                    
06019006501,36.6086830,-119.3447256                                                                                                                            
06019006502,36.6466582,-119.3274871                                                                                                                            
06019006602,36.5908573,-119.4402301                                                                                                                             
06019006603,36.6073772,-119.4571017                                                                                                                         
06019006604,36.6045254,-119.4393739                                                                                                                             
06019006700,36.5869962,-119.4549129                                                                                                                        
06019006802,36.5995048,-119.4974354                                                                                                                        
06019006900,36.6466139,-119.5600522                                                                                                                            
06019007002,36.5699543,-119.6086517                                                                                                                             
06019007003,36.5935943,-119.6260162                                                                                                                             
06019007004,36.5770545,-119.5900857                                                                                                                            
06019007100,36.5629769,-119.6279131                                                                                                                        
06019007201,36.5460501,-119.5391568                                                                                                                            
06019007202,36.5082174,-119.5666764                                                                                                                             
06019007300,36.5344594,-119.6917634                                                                                                                      
06019007400,36.4550587,-119.7117335                                                                                                                           
06019007500,36.5336682,-119.8284031                                                                                                                            
06019007600,36.5805660,-119.9430164                                                                                                                           
06019007700,36.4461628,-119.9069043                                                                                                                           
06019007801,36.1460004,-120.0943186                                                                                                                           
06019007802,36.3151691,-120.0929313                                                                                                                           
06019007901,36.1300452,-120.2449273                                                                                                                             
06019007902,36.2042510,-120.4089333                                                                                                                     
06019008000,36.1572269,-120.3729196                                                                                                                            
06019008100,36.1419126,-120.3512512                                                                                                                             
06019008200,36.5557769,-120.2346470                                                                                                                     
06019008301,36.8048790,-120.3985570                                                                                                                      
06019008302,36.6262970,-120.5773805                                                                                                                    
06019008401,36.8586926,-120.5139877                                                                                                                      
06019008402,36.8689002,-120.6584593                                                                                                                     
06019008501,36.5887994,-119.5492976                                                                                                                            
06019008502,36.6214407,-119.5507133                                                                                                                            
06021010100,39.7441806,-122.1823103                                                                                                                            
06021010200,39.7433095,-122.2081690                                                                                                                      
06021010300,39.6052917,-122.5012990                                                                                                                   
06021010400,39.5223178,-122.2104733                                                                                                                       
06021010501,39.7212958,-122.0413986                                                                                                                     
06021010502,39.5096525,-122.0261595                                                                                                                     
06023000100,40.8040475,-124.1718104                                                                                                                       
06023000200,40.7846083,-124.1798708                                                                                                                        
06023000300,40.7728499,-124.1704141                                                                                                                           
06023000400,40.7593641,-124.1785860                                                                                                                         
06023000500,40.8025436,-124.1513984                                                                                                                        
06023000600,40.7886073,-124.1501286                                                                                                                             
06023000700,40.7691596,-124.1483154                                                                                                                         
06023000800,40.8053674,-124.1072319                                                                                                                      
06023000900,40.8054567,-124.0379000                                                                                                                        
06023001000,40.8673192,-124.0800350                                                                                                                         
06023001101,40.8875919,-124.0989799                                                                                                                         
06023001200,40.6854195,-123.7505265                                                                                                                     
06023001300,40.8522054,-124.1597819                                                                                                                     
06023010102,41.2749037,-123.9140107                                                                                                                    
06023010200,41.1893421,-124.0324312                                                                                                                    
06023010300,40.9265049,-123.8882723                                                                                                                     
06023010400,40.9823807,-124.0721787                                                                                                                      
06023010501,40.9374247,-124.1120896                                                                                                                        
06023010502,40.9331482,-124.0533616                                                                                                                       
06023010600,40.7127515,-124.0474331                                                                                                                       
06023010700,40.6865049,-124.1567492                                                                                                                    
06023010800,40.6530627,-124.2233155                                                                                                                    
06023010901,40.5984451,-124.1377835                                                                                                                             
06023010902,40.5020364,-123.7971626                                                                                                                    
06023011000,40.5625580,-124.1339756                                                                                                                             
06023011100,40.4366309,-124.0525212                                                                                                                     
06023011200,40.3531124,-124.2143792                                                                                                                    
