GEOID,INTPTLAT,INTPTLONG 
06001421700,37.8819398,-122.2701842                                                                                                                              
06001421800,37.8802854,-122.2782006                                                                                                                              
06001421900,37.8794875,-122.2896350                                                                                                                              
06001422000,37.8578054,-122.3012478                                                                                                                       
06001422100,37.8733067,-122.2965336                                                                                                                              
06001422200,37.8728828,-122.2878171                                                                                                                              
06001422300,37.8740722,-122.2779152                                                                                                                              
06001422400,37.8752396,-122.2695878                                                                                                                              
06001422500,37.8773130,-122.2603183                                                                                                                              
06001422600,37.8738034,-122.2546065                                                                                                                             
06001422700,37.8679235,-122.2494910                                                                                                                              
06001422800,37.8667875,-122.2599790                                                                                                                              
06001422900,37.8678899,-122.2692470                                                                                                                              
06001423000,37.8668441,-122.2771352                                                                                                                              
06001423100,37.8658070,-122.2863197                                                                                                                              
06001423200,37.8645164,-122.2936857                                                                                                                              
06001423300,37.8573281,-122.2842016                                                                                                                              
06001423400,37.8583735,-122.2758840                                                                                                                              
06001423500,37.8593612,-122.2680480                                                                                                                              
06001423601,37.8588968,-122.2587175                                                                                                                              
06001423602,37.8631882,-122.2592722                                                                                                                              
06001423700,37.8618284,-122.2490093                                                                                                                              
06001423800,37.8547522,-122.2440171                                                                                                                             
06001423901,37.8522414,-122.2675674                                                                                                                              
06001423902,37.8547567,-122.2573858                                                                                                                              
06001424001,37.8503694,-122.2746228                                                                                                                              
06001424002,37.8504771,-122.2815375                                                                                                                              
06001425101,37.8382532,-122.3054128                                                                                                                        
06001425102,37.8399753,-122.2946627                                                                                                                              
06001425103,37.8426105,-122.2898382                                                                                                                              
06001425104,37.8326424,-122.2833383                                                                                                                             
06001426100,37.8216141,-122.2252882                                                                                                                             
06001426200,37.8246263,-122.2406411                                                                                                                             
06001427100,37.7649090,-122.2299614                                                                                                                        
06001427200,37.7808270,-122.2482550                                                                                                                        
06001427300,37.7810489,-122.2662775                                                                                                                        
06001427600,37.7778323,-122.2835979                                                                                                                              
06001427700,37.7681553,-122.2868948                                                                                                                         
06001427800,37.7714922,-122.2690581                                                                                                                              
06001427900,37.7698045,-122.2582454                                                                                                                              
06001428000,37.7666414,-122.2475404                                                                                                                              
06001428100,37.7589136,-122.2346068                                                                                                                          
06001428200,37.7533266,-122.2396733                                                                                                                        
06001428301,37.7344929,-122.2414385                                                                                                                       
06001428302,37.7439709,-122.2497790                                                                                                                        
06001428400,37.7564138,-122.2559068                                                                                                                        
06001428500,37.7601324,-122.2593887                                                                                                                         
06001428600,37.7662730,-122.2738461                                                                                                                        
06001428700,37.7801283,-122.3050028                                                                                                                       
06001430101,37.7272541,-122.0152584                                                                                                                            
06001430102,37.7674603,-122.0500301                                                                                                                      
06001430200,37.7216743,-122.0615667                                                                                                                             
06001430300,37.7229094,-122.0837445                                                                                                                        
06001430400,37.7202531,-122.1010932                                                                                                                        
06001430500,37.7049108,-122.1091517                                                                                                                             
06001430600,37.7041735,-122.0969654                                                                                                                             
06001430700,37.7060949,-122.0822257                                                                                                                             
06001430800,37.6992244,-122.0650347                                                                                                                             
06001430900,37.6982784,-122.0828322                                                                                                                             
06001431000,37.6929313,-122.0784575                                                                                                                              
06001431100,37.6881143,-122.0672948                                                                                                                              
06001431200,37.6871184,-122.0834504                                                                                                                         
06001432100,37.7360495,-122.1466048                                                                                                                             
06001432200,37.7330544,-122.1562452                                                                                                                             
06001432300,37.7308613,-122.1656484                                                                                                                             
06001432400,37.7087256,-122.1899737                                                                                                                       
06001432501,37.7167158,-122.1661446                                                                                                                             
06001432502,37.7234549,-122.1734789                                                                                                                              
06001432600,37.7226922,-122.1551539                                                                                                                             
06001432700,37.7270702,-122.1428437                                                                                                                              
06001432800,37.7211901,-122.1244987                                                                                                                             
06001433000,37.7158642,-122.1354706                                                                                                                             
06001433102,37.7021567,-122.1335016                                                                                                                             
06001433103,37.7093280,-122.1390589                                                                                                                              
06001433104,37.7142641,-122.1469937                                                                                                                             
06001433200,37.7017500,-122.1470770                                                                                                                             
06001433300,37.6985801,-122.1574574                                                                                                                             
06001433400,37.6845277,-122.1689572                                                                                                                       
06001433500,37.6845009,-122.1553145                                                                                                                             
06001433600,37.6860068,-122.1437839                                                                                                                             
06001433700,37.6876344,-122.1146758                                                                                                                             
06001433800,37.6988143,-122.1234820                                                                                                                             
06001433900,37.6992653,-122.1135398                                                                                                                              
06001434000,37.6923654,-122.1103210                                                                                                                             
06001435102,37.6552235,-122.0457324                                                                                                                             
06001435103,37.6518147,-121.9830997                                                                                                                            
06001435104,37.6385981,-122.0389709                                                                                                                             
06001435200,37.6890403,-122.0493360                                                                                                                         
06001435300,37.6807791,-122.0646660                                                                                                                             
06001435400,37.6739266,-122.0831568                                                                                                                             
06001435500,37.6809369,-122.0933300                                                                                                                             
06001435601,37.6746689,-122.1022655                                                                                                                              
06001435602,37.6819278,-122.1069995                                                                                                                             
06001435700,37.6786494,-122.1160735                                                                                                                             
06001435800,37.6793626,-122.1295969                                                                                                                             
06001435900,37.6724681,-122.1473050                                                                                                                         
06001436000,37.6691812,-122.1375262                                                                                                                             
06001436100,37.6718054,-122.1235777                                                                                                                             
06001436200,37.6685048,-122.1121200                                                                                                                              
06001436300,37.6662740,-122.0917198                                                                                                                             
06001436401,37.6715227,-122.0650918                                                                                                                             
06001436402,37.6668495,-122.0404785                                                                                                                             
06001436500,37.6586401,-122.0688837                                                                                                                             
06001436601,37.6567907,-122.0788937                                                                                                                             
06001436602,37.6518343,-122.0851742                                                                                                                              
06001436700,37.6619708,-122.1005196                                                                                                                              
06001436800,37.6535732,-122.0944503                                                                                                                             
06001436900,37.6603503,-122.1097202                                                                                                                             
06001437000,37.6471440,-122.1015751                                                                                                                             
06001437101,37.6059048,-122.1268730                                                                                                                      
06001437102,37.6298655,-122.1002746                                                                                                                              
06001437200,37.6431726,-122.1115983                                                                                                                             
06001437300,37.6362157,-122.0929895                                                                                                                             
06001437400,37.6428333,-122.0876528                                                                                                                              
06001437500,37.6440340,-122.0793899                                                                                                                              
06001437600,37.6353607,-122.0804835                                                                                                                              
06001437701,37.6348665,-122.0697491                                                                                                                              
06001437702,37.6384440,-122.0734492                                                                                                                              
06001437800,37.6431464,-122.0686965                                                                                                                             
06001437900,37.6428255,-122.0613097                                                                                                                              
06001438000,37.6191280,-122.0285144                                                                                                                             
06001438100,37.6181516,-122.0389490                                                                                                                             
06001438201,37.6261535,-122.0764068                                                                                                                              
06001438203,37.6155866,-122.0573802                                                                                                                             
06001438204,37.6270608,-122.0596258                                                                                                                             
06001438300,37.6282241,-122.0885230                                                                                                                              
06001438400,37.6184511,-122.0826040                                                                                                                             
06001440100,37.6163011,-121.9815046                                                                                                                            
06001440200,37.6003676,-122.0225206                                                                                                                             
06001440301,37.6011866,-122.0427542                                                                                                                             
06001440304,37.5868726,-122.0766139                                                                                                                              
06001440305,37.5773806,-122.0746719                                                                                                                              
06001440306,37.5849874,-122.0683624                                                                                                                              
06001440307,37.5911419,-122.0486869                                                                                                                             
06001440308,37.5893439,-122.0278186                                                                                                                             
06001440331,37.5982226,-122.0833304                                                                                                                             
06001440332,37.5826710,-122.0858114                                                                                                                             
06001440333,37.6053389,-122.0738118                                                                                                                             
06001440334,37.5937912,-122.0648507                                                                                                                             
06001440335,37.5913508,-122.0122841                                                                                                                             
06001440336,37.5811633,-122.0175013                                                                                                                             
06001441100,37.5852993,-121.9620573                                                                                                                            
06001441200,37.5780625,-121.9910071                                                                                                                         
06001441301,37.5717252,-122.0026581                                                                                                                             
06001441302,37.5693426,-122.0194346                                                                                                                             
06001441401,37.5735683,-122.0376757                                                                                                                             
06001441402,37.5823793,-122.0398730                                                                                                                             
06001441501,37.5699748,-122.0724418                                                                                                                             
06001441503,37.4727211,-121.9443085                                                                                                                     
06001441521,37.5729280,-122.0532588                                                                                                                             
06001441522,37.5845579,-122.0572528                                                                                                                             
06001441523,37.5647764,-122.0464882                                                                                                                              
06001441524,37.5594780,-122.0506929                                                                                                                             
06001441601,37.5635007,-122.0305372                                                                                                                             
06001441602,37.5569619,-122.0212342                                                                                                                             
06001441700,37.5532071,-122.0116302                                                                                                                             
06001441800,37.5591934,-121.9915833                                                                                                                             
06001441921,37.5424223,-121.9678076                                                                                                                              
